iso3,pays,CP1,CP2,CP3,CP4
SLV,El Salvador,-0.1524105308641655,-0.20098205269832972,-1.0065662238616673,-0.5188795700911653
ESP,Spain,1.2212655580251128,2.4233623431441558,0.11043239206131951,1.1303238654865229
EST,Estonia,1.5073746165598438,-1.0510977068783705,-1.0388566438850089,0.01677955902485156
SWZ,Eswatini,-0.8222611511594554,-1.1418527079593432,-0.4810930741118092,0.3303097879913755
FJI,Fiji,0.392954316024148,-0.8525287620969867,-1.288448870392515,0.045870157139022476
FIN,Finland,1.5491629514970864,0.64529056053606,-0.8884645029823977,1.7876000662164784
FRA,France,1.625064048687221,3.138646176199146,0.6285742898907678,0.5516685759406299
RUS,Russian Federation,-0.33226036795700825,3.202928581960049,0.23253186488208447,-0.5996181375979123
GAB,Gabon,0.6557209216481532,-1.6221898332941687,1.5628315544787186,-0.6708744800475902
GMB,"Gambia, The",-0.8200122185905205,-1.724067930546558,0.5854119749676572,0.5892415868222972
GHA,Ghana,-0.8868533633336483,-0.5620186667924214,1.206399903027889,2.6840666953458503
GRD,Grenada,3.2569605756621804,-2.4449635650381056,-0.39196277155798687,-1.7420481625449615
GRC,Greece,0.6704251594642461,0.36298844493259264,-0.20421101738828407,1.147839438058598
GTM,Guatemala,-0.5583665744998755,0.08879052063336967,0.1295918270629296,-0.6473122226135031
GIN,Guinea,-2.2072129148109623,-1.1226968307522582,-0.028309458960750218,0.8375354531257949
GNB,Guinea-Bissau,-1.2227377970855353,-1.4267471350045389,-0.20291208075877062,0.595458731030972
GUY,Guyana,-0.1541916812699156,-0.6924504693261071,-1.5874482178441756,-1.5282636658489153
GEO,Georgia,0.26386184466821555,-1.0668985108957276,-0.22685259400192676,0.42145924581746813
HTI,Haiti,-1.1623622164053422,-1.0947483031014738,0.9412424003720199,-0.4653223377298858
HND,Honduras,-1.2892367487699052,-0.15634133719661242,-0.9099758849873462,-1.1015459853419651
HUN,Hungary,0.16533990181629535,0.41858040924015644,-1.0343625294567238,-0.0471546252073942
IND,India,-2.2063387826479133,2.11651546858246,-0.6949962582597731,0.8233360918664955
IDN,Indonesia,-2.4334108230120663,1.5577657163568812,-0.5767888784893479,-0.013040597073561392
IRN,"Iran, Islamic Rep.",-2.3605081959367804,1.5202568787927804,0.20805585343851216,-0.6862352058594747
IRQ,Iraq,-0.9460416752954761,0.49017536213046065,2.4172390808948356,-0.5790669072229323
IRL,Ireland,2.965745098806396,0.516854267016753,-0.5148108449667314,2.578864197745666
ISL,Iceland,2.029734562003738,-0.398922046697032,-0.7541613875161345,1.7743737664769175
ISR,Israel,1.583545560498678,1.7717989956844948,-0.3037727390915941,0.3960829372004568
ITA,Italy,0.8516988867672748,2.2871604170305244,-0.05553670076899922,1.4491870613334028
JAM,Jamaica,0.4325236435606918,-0.3724726508850094,-0.5173497816143814,-1.4490868300384054
JPN,Japan,1.9515222652442357,4.369951148511927,1.7666605301590546,1.2324945203942514
JOR,Jordan,-0.1818062393845614,-0.15120962509148606,0.5917393864523038,-0.06986401474456355
KAZ,Kazakhstan,-0.5438378103690249,0.13362202218871,0.5363455207994099,0.2121579385258263
KEN,Kenya,-2.555912598381617,-0.16623626803103092,0.3421638095533014,0.9368537099724398
KGZ,Kyrgyz Republic,-0.8378592839232224,-1.2301796876154902,-0.17804014986964506,0.4499766720533999
KIR,Kiribati,1.2193337853003612,-1.9049249835690574,-0.8763799402306681,0.4710633465017697
KWT,Kuwait,2.4512330502123714,-0.12685352840361247,2.3384454478364347,-1.0168238024759202
LSO,Lesotho,0.047186540835269894,-1.5677127009462872,0.7083928627746825,-0.33920377253701695
LVA,Latvia,1.6517141285607617,-1.0761015557257538,-0.46844423026017945,0.2898952852955193
LBN,Lebanon,-2.3800244076949713,-0.5536126150088485,0.6945424094985582,-0.342322822172331
LBR,Liberia,-1.0668704475309592,-1.4243911115714838,1.3320083871328625,0.11686010547176061
